;;;
Informações de Saúde;;;
DATASUS  Tecnologia da Informação a Serviço do SUS;;;
Ajuda;;;
Notas Técnicas;;;
DATASUS;;;
Taxa de analfabetismo - Brasil;;;
Taxa de analfabetismo segundo Município;;;
Período: 1991;;;
Município;Taxa de analfabetismo;;
Fonte: IBGE - Censos Demográficos;;;
Consulte o sítio da Secretaria Estadual de Saúde e do IBGE para mais informações.;;;
;;;
352700 LINDOIA;16,2;;
352710 LINS;11,6;;
352720 LORENA;7,9;;
352730 LOUVEIRA;12,9;;
352740 LUCELIA;17,6;;
352750 LUCIANOPOLIS;22;;
352760 LUIS ANTONIO;11,1;;
352770 LUIZIANIA;22,5;;
352780 LUPERCIO;21,9;;
352790 LUTECIA;22,7;;
352800 MACATUBA;18,3;;
352810 MACAUBAL;16;;
352820 MACEDONIA;20,7;;
352830 MAGDA;17,1;;
352840 MAIRINQUE;12;;
352850 MAIRIPORA;13,7;;
352860 MANDURI;12,8;;
352870 MARABA PAULISTA;25,9;;
352880 MARACAI;16,5;;
352890 MARIAPOLIS;20,5;;
352900 MARILIA;10,3;;
352910 MARINOPOLIS;22,9;;
352920 MARTINOPOLIS;17,3;;
352930 MATAO;12;;
352940 MAUA;10;;
352950 MENDONCA;19,5;;
352960 MERIDIANO;20,3;;
352970 MIGUELOPOLIS;16,8;;
352980 MINEIROS DO TIETE;13,9;;
352990 MIRACATU;18,7;;
353000 MIRA ESTRELA;20,9;;
353010 MIRANDOPOLIS;16,6;;
353020 MIRANTE DO PARANAPANEMA;18,6;;
353030 MIRASSOL;12,5;;
353040 MIRASSOLANDIA;21,2;;
353050 MOCOCA;11,5;;
353060 MOGI DAS CRUZES;9,1;;
353070 MOGI GUACU;11,3;;
353080 MOGI MIRIM;10,8;;
353090 MOMBUCA;19,9;;
353100 MONCOES;19,5;;
353110 MONGAGUA;11,6;;
353120 MONTE ALEGRE DO SUL;15,2;;
353130 MONTE ALTO;11,2;;
353140 MONTE APRAZIVEL;13,4;;
353150 MONTE AZUL PAULISTA;14,7;;
353160 MONTE CASTELO;21,2;;
353170 MONTEIRO LOBATO;28,8;;
353180 MONTE MOR;16,4;;
353190 MORRO AGUDO;18,6;;
353200 MORUNGABA;13,3;;
353210 MURUTINGA DO SUL;17,3;;
353220 NARANDIBA;18,9;;
353230 NATIVIDADE DA SERRA;33,5;;
353240 NAZARE PAULISTA;27,3;;
353250 NEVES PAULISTA;18,2;;
353260 NHANDEARA;15,7;;
353270 NIPOA;16,1;;
353280 NOVA ALIANCA;16,3;;
353290 NOVA EUROPA;14,5;;
353300 NOVA GRANADA;16;;
353310 NOVA GUATAPORANGA;24,1;;
353320 NOVA INDEPENDENCIA;25,7;;
353330 NOVA LUZITANIA;19,9;;
353340 NOVA ODESSA;8,2;;
353350 NOVO HORIZONTE;16,3;;
353360 NUPORANGA;14,9;;
353370 OCAUCU;20,7;;
353380 OLEO;13,8;;
353390 OLIMPIA;13,1;;
353400 ONDA VERDE;15,3;;
353410 ORIENTE;17,7;;
353420 ORINDIUVA;11,8;;
353430 ORLANDIA;10,1;;
353440 OSASCO;8,4;;
353450 OSCAR BRESSANE;21,5;;
353460 OSVALDO CRUZ;14;;
353470 OURINHOS;10,4;;
353480 OURO VERDE;26,9;;
353490 PACAEMBU;21,9;;
353500 PALESTINA;18,5;;
353510 PALMARES PAULISTA;20,3;;
353520 PALMEIRA D'OESTE;19,8;;
353530 PALMITAL;15,4;;
353540 PANORAMA;15,1;;
353550 PARAGUACU PAULISTA;14,1;;
353560 PARAIBUNA;21,4;;
353570 PARAISO;17,7;;
353580 PARANAPANEMA;17,7;;
353590 PARANAPUA;20,3;;
353600 PARAPUA;18,2;;
353610 PARDINHO;19,8;;
353620 PARIQUERA-ACU;14,2;;
353630 PATROCINIO PAULISTA;15,4;;
353640 PAULICEIA;19;;
353650 PAULINIA;10,1;;
353660 PAULO DE FARIA;14;;
353670 PEDERNEIRAS;13,8;;
353680 PEDRA BELA;21,2;;
353690 PEDRANOPOLIS;15,9;;
353700 PEDREGULHO;13,3;;
353710 PEDREIRA;11,6;;
353720 PEDRO DE TOLEDO;23;;
353730 PENAPOLIS;11,8;;
353740 PEREIRA BARRETO;13;;
353750 PEREIRAS;15;;
353760 PERUIBE;13,6;;
353770 PIACATU;23,6;;
353780 PIEDADE;16,4;;
353790 PILAR DO SUL;18;;
353800 PINDAMONHANGABA;8,6;;
353810 PINDORAMA;18,1;;
353820 PINHALZINHO;17,3;;
353830 PIQUEROBI;21,4;;
353850 PIQUETE;8,2;;
353860 PIRACAIA;19,1;;
353870 PIRACICABA;7,1;;
353880 PIRAJU;15,3;;
353890 PIRAJUI;16,6;;
353900 PIRANGI;14,1;;
353910 PIRAPORA DO BOM JESUS;18,5;;
353920 PIRAPOZINHO;16;;
353930 PIRASSUNUNGA;8,9;;
353940 PIRATININGA;14,8;;
353950 PITANGUEIRAS;18,1;;
353960 PLANALTO;16,7;;
353970 PLATINA;18,3;;
353980 POA;8,5;;
353990 POLONI;16,2;;
354000 POMPEIA;13,8;;
354010 PONGAI;17,8;;
354020 PONTAL;16,5;;
354030 PONTES GESTAL;18,6;;
354040 POPULINA;23,2;;
354050 PORANGABA;14,3;;
354060 PORTO FELIZ;10,3;;
354070 PORTO FERREIRA;9,1;;
354080 POTIRENDABA;13;;
354090 PRADOPOLIS;14,3;;
354100 PRAIA GRANDE;10,2;;
354110 PRESIDENTE ALVES;17,7;;
354120 PRESIDENTE BERNARDES;16,7;;
354130 PRESIDENTE EPITACIO;14,9;;
354140 PRESIDENTE PRUDENTE;9,9;;
354150 PRESIDENTE VENCESLAU;13,7;;
354160 PROMISSAO;11,7;;
354170 QUATA;17;;
354180 QUEIROZ;27,8;;
354190 QUELUZ;12,6;;
354200 QUINTANA;20,3;;
354210 RAFARD;11,7;;
354220 RANCHARIA;13,2;;
354230 REDENCAO DA SERRA;20,7;;
354240 REGENTE FEIJO;18,6;;
354250 REGINOPOLIS;19,1;;
354260 REGISTRO;12,3;;
354270 RESTINGA;15,7;;
354280 RIBEIRA;27,3;;
354290 RIBEIRAO BONITO;18,3;;
354300 RIBEIRAO BRANCO;23,4;;
354310 RIBEIRAO CORRENTE;17,2;;
354320 RIBEIRAO DO SUL;19,5;;
354330 RIBEIRAO PIRES;8,4;;
354340 RIBEIRAO PRETO;6,4;;
354350 RIVERSUL;21,9;;
354360 RIFAINA;10,6;;
354370 RINCAO;13,9;;
354380 RINOPOLIS;18,8;;
354390 RIO CLARO;7,4;;
354400 RIO DAS PEDRAS;14,7;;
354410 RIO GRANDE DA SERRA;11,6;;
354420 RIOLANDIA;20,7;;
354430 ROSEIRA;11,7;;
354440 RUBIACEA;21,8;;
354450 RUBINEIA;19,9;;
354460 SABINO;20;;
354470 SAGRES;22,4;;
354480 SALES;23,1;;
354490 SALES OLIVEIRA;12,1;;
354500 SALESOPOLIS;20,6;;
354510 SALMOURAO;22,8;;
354520 SALTO;9,7;;
354530 SALTO DE PIRAPORA;14;;
354540 SALTO GRANDE;16,5;;
354550 SANDOVALINA;28,5;;
354560 SANTA ADELIA;14,8;;
354570 SANTA ALBERTINA;21,5;;
354580 SANTA BARBARA D'OESTE;10,2;;
354600 SANTA BRANCA;13,8;;
354610 SANTA CLARA D'OESTE;21,9;;
354620 SANTA CRUZ DA CONCEICAO;10,8;;
354630 SANTA CRUZ DAS PALMEIRAS;13,6;;
354640 SANTA CRUZ DO RIO PARDO;11,8;;
354650 SANTA ERNESTINA;16,9;;
354660 SANTA FE DO SUL;16,2;;
354670 SANTA GERTRUDES;13,4;;
354680 SANTA ISABEL;18,5;;
354690 SANTA LUCIA;18,8;;
354700 SANTA MARIA DA SERRA;15,1;;
354710 SANTA MERCEDES;22,5;;
354720 SANTANA DA PONTE PENSA;20,5;;
354730 SANTANA DE PARNAIBA;13,2;;
354740 SANTA RITA D'OESTE;20;;
354750 SANTA RITA DO PASSA QUATRO;10,2;;
354760 SANTA ROSA DE VITERBO;7,6;;
354770 SANTO ANASTACIO;15,7;;
354780 SANTO ANDRE;6,3;;
354790 SANTO ANTONIO DA ALEGRIA;11,6;;
354800 SANTO ANTONIO DE POSSE;15,7;;
354810 SANTO ANTONIO DO JARDIM;16,6;;
354820 SANTO ANTONIO DO PINHAL;15,5;;
354830 SANTO EXPEDITO;19,6;;
354840 SANTOPOLIS DO AGUAPEI;21,6;;
354850 SANTOS;5;;
354860 SAO BENTO DO SAPUCAI;18,7;;
354870 SAO BERNARDO DO CAMPO;6,6;;
354880 SAO CAETANO DO SUL;5,3;;
354890 SAO CARLOS;9,7;;
354900 SAO FRANCISCO;29,9;;
354910 SAO JOAO DA BOA VISTA;10,3;;
354920 SAO JOAO DAS DUAS PONTES;23,8;;
354930 SAO JOAO DO PAU D'ALHO;18,8;;
354940 SAO JOAQUIM DA BARRA;10,7;;
354950 SAO JOSE DA BELA VISTA;19,9;;
354960 SAO JOSE DO BARREIRO;28,3;;
354970 SAO JOSE DO RIO PARDO;10,6;;
354980 SAO JOSE DO RIO PRETO;7,9;;
354990 SAO JOSE DOS CAMPOS;6,7;;
355000 SAO LUIS DO PARAITINGA;23,9;;
355010 SAO MANUEL;17,3;;
355020 SAO MIGUEL ARCANJO;15,4;;
355030 SAO PAULO;7,1;;
355040 SAO PEDRO;13,3;;
355050 SAO PEDRO DO TURVO;17,8;;
355060 SAO ROQUE;12,4;;
355070 SAO SEBASTIAO;13,8;;
355080 SAO SEBASTIAO DA GRAMA;16,1;;
355090 SAO SIMAO;10,7;;
355100 SAO VICENTE;8,7;;
355110 SARAPUI;15,9;;
355120 SARUTAIA;21,7;;
355130 SEBASTIANOPOLIS DO SUL;21,6;;
355140 SERRA AZUL;20,2;;
355150 SERRANA;11,6;;
355160 SERRA NEGRA;10;;
355170 SERTAOZINHO;11,1;;
355180 SETE BARRAS;21,3;;
355190 SEVERINIA;19,4;;
355200 SILVEIRAS;22;;
355210 SOCORRO;17,6;;
355220 SOROCABA;6,7;;
355230 SUD MENNUCCI;18,2;;
355240 SUMARE;12,2;;
355250 SUZANO;10,9;;
355260 TABAPUA;18,4;;
355270 TABATINGA;17;;
355280 TABOAO DA SERRA;9,1;;
355290 TACIBA;24;;
355300 TAGUAI;19,9;;
355310 TAIACU;16,8;;
355320 TAIUVA;15,4;;
355330 TAMBAU;12,2;;
355340 TANABI;15,5;;
355350 TAPIRAI;24,3;;
355360 TAPIRATIBA;13,9;;
355370 TAQUARITINGA;13,8;;
355380 TAQUARITUBA;19,4;;
355390 TARABAI;20,5;;
355400 TATUI;10,2;;
355410 TAUBATE;6,5;;
355420 TEJUPA;24,6;;
355430 TEODORO SAMPAIO;17,3;;
355440 TERRA ROXA;12,9;;
355450 TIETE;6,8;;
355460 TIMBURI;20,4;;
355470 TORRINHA;12,6;;
355480 TREMEMBE;9,9;;
355490 TRES FRONTEIRAS;21,1;;
355500 TUPA;13,2;;
355510 TUPI PAULISTA;14;;
355520 TURIUBA;20,6;;
355530 TURMALINA;16,6;;
355540 UBATUBA;12,2;;
355550 UBIRAJARA;24,2;;
355560 UCHOA;19,3;;
355570 UNIAO PAULISTA;23,4;;
355580 URANIA;19,7;;
355590 URU;15,6;;
355600 URUPES;15,4;;
355610 VALENTIM GENTIL;18,9;;
355620 VALINHOS;9,5;;
355630 VALPARAISO;16,5;;
355640 VARGEM GRANDE DO SUL;13,6;;
355645 VARGEM GRANDE PAULISTA;11,5;;
355650 VARZEA PAULISTA;10,8;;
355660 VERA CRUZ;16;;
355670 VINHEDO;9,5;;
355680 VIRADOURO;12,2;;
355690 VISTA ALEGRE DO ALTO;13,1;;
355700 VOTORANTIM;8,4;;
355710 VOTUPORANGA;11,4;;
355720 CHAVANTES;22,1;;
410010 ABATIA;22,7;;
410020 ADRIANOPOLIS;33,9;;
410030 AGUDOS DO SUL;17,6;;
410040 ALMIRANTE TAMANDARE;15,7;;
410045 ALTAMIRA DO PARANA;27,6;;
410050 ALTONIA;18,5;;
410060 ALTO PARANA;22,7;;
410070 ALTO PIQUIRI;29,7;;
410080 ALVORADA DO SUL;19,5;;
410090 AMAPORA;25,6;;
410100 AMPERE;16,7;;
410110 ANDIRA;19,2;;
410120 ANTONINA;18,8;;
410130 ANTONIO OLINTO;19,9;;
410140 APUCARANA;13,6;;
410150 ARAPONGAS;12,8;;
410160 ARAPOTI;18,4;;
410170 ARARUNA;20,8;;
410180 ARAUCARIA;9,7;;
410190 ASSAI;19,7;;
410200 ASSIS CHATEAUBRIAND;18;;
410210 ASTORGA;16;;
410220 ATALAIA;21,5;;
410230 BALSA NOVA;10,9;;
410240 BANDEIRANTES;20,2;;
410250 BARBOSA FERRAZ;31;;
410260 BARRACAO;17;;
410270 BARRA DO JACARE;16;;
410280 BELA VISTA DO PARAISO;23,1;;
410290 BITURUNA;12,9;;
410300 BOA ESPERANCA;23,2;;
410305 BOA VISTA DA APARECIDA;25,1;;
410310 BOCAIUVA DO SUL;25,3;;
410320 BOM SUCESSO;23,4;;
410330 BORRAZOPOLIS;20,5;;
410335 BRAGANEY;23;;
410340 CAFEARA;21,4;;
410345 CAFELANDIA;14,3;;
410350 CALIFORNIA;20,3;;
410360 CAMBARA;16,7;;
410370 CAMBE;14,6;;
410380 CAMBIRA;20,4;;
410390 CAMPINA DA LAGOA;25,1;;
410400 CAMPINA GRANDE DO SUL;15,4;;
410405 CAMPO BONITO;28,8;;
410410 CAMPO DO TENENTE;23,4;;
410420 CAMPO LARGO;11,9;;
410430 CAMPO MOURAO;15,8;;
410440 CANDIDO DE ABREU;28,7;;
410445 CANTAGALO;18,1;;
410450 CAPANEMA;12,8;;
410460 CAPITAO LEONIDAS MARQUES;20;;
410470 CARLOPOLIS;18,7;;
410480 CASCAVEL;10,3;;
410490 CASTRO;19;;
410500 CATANDUVAS;23,6;;
410510 CENTENARIO DO SUL;25,6;;
410520 CERRO AZUL;36,8;;
410530 CEU AZUL;13,4;;
410540 CHOPINZINHO;17;;
410550 CIANORTE;14,3;;
410560 CIDADE GAUCHA;21,3;;
410570 CLEVELANDIA;13,7;;
410580 COLOMBO;11,8;;
410590 COLORADO;18,5;;
410600 CONGONHINHAS;30,8;;
410610 CONSELHEIRO MAIRINCK;26,8;;
410620 CONTENDA;9,3;;
410630 CORBELIA;18,2;;
410640 CORNELIO PROCOPIO;15,2;;
410650 CORONEL VIVIDA;15;;
410655 CORUMBATAI DO SUL;27,8;;
410660 CRUZEIRO DO OESTE;22,9;;
410670 CRUZEIRO DO SUL;24,9;;
410680 CRUZ MACHADO;10,8;;
410690 CURITIBA;5,2;;
410700 CURIUVA;25,6;;
410710 DIAMANTE DO NORTE;20,3;;
410715 DIAMANTE D'OESTE;24,3;;
410720 DOIS VIZINHOS;14,6;;
410725 DOURADINA;24;;
410730 DOUTOR CAMARGO;20,6;;
410740 ENEAS MARQUES;16,7;;
410750 ENGENHEIRO BELTRAO;18,2;;
410760 FAXINAL;23,8;;
410770 FENIX;19,8;;
410775 FIGUEIRA;29,5;;
410780 FLORAI;16,8;;
410790 FLORESTA;17,3;;
410800 FLORESTOPOLIS;27,5;;
410810 FLORIDA;20,8;;
410820 FORMOSA DO OESTE;19,5;;
410830 FOZ DO IGUACU;10,8;;
410832 FRANCISCO ALVES;21,6;;
410840 FRANCISCO BELTRAO;12,4;;
410850 GENERAL CARNEIRO;15,5;;
410855 GODOY MOREIRA;32,3;;
410860 GOIOERE;20,1;;
410870 GRANDES RIOS;32,7;;
410880 GUAIRA;15,4;;
410890 GUAIRACA;24,2;;
410900 GUAPIRAMA;23,2;;
410910 GUAPOREMA;24,2;;
410920 GUARACI;25,1;;
410930 GUARANIACU;20,3;;
410940 GUARAPUAVA;14,2;;
410950 GUARAQUECABA;30,5;;
410960 GUARATUBA;13,2;;
410970 IBAITI;24,5;;
410975 IBEMA;22,2;;
410980 IBIPORA;14,7;;
410990 ICARAIMA;21,6;;
411000 IGUARACU;23,2;;
411010 IMBITUVA;10,3;;
411020 INACIO MARTINS;21;;
411030 INAJA;34,5;;
411040 INDIANOPOLIS;22,2;;
411050 IPIRANGA;16,5;;
411060 IPORA;22,5;;
411070 IRATI;10;;
411080 IRETAMA;26,9;;
411090 ITAGUAJE;21,6;;
411100 ITAMBARACA;23,9;;
411110 ITAMBE;18,6;;
411120 ITAPEJARA D'OESTE;13;;
411130 ITAUNA DO SUL;27,4;;
411140 IVAI;15,1;;
411150 IVAIPORA;23,4;;
411160 IVATUBA;20,6;;
411170 JABOTI;25;;
411180 JACAREZINHO;19,2;;
411190 JAGUAPITA;20,2;;
411200 JAGUARIAIVA;17,8;;
411210 JANDAIA DO SUL;16,2;;
411220 JANIOPOLIS;24,7;;
411230 JAPIRA;29,9;;
411240 JAPURA;15;;
411250 JARDIM ALEGRE;25,6;;
411260 JARDIM OLINDA;23,8;;
411270 JATAIZINHO;19,3;;
411275 JESUITAS;16,8;;
411280 JOAQUIM TAVORA;21,9;;
411290 JUNDIAI DO SUL;30,5;;
411295 JURANDA;21,5;;
411300 JUSSARA;18,6;;
411310 KALORE;20,1;;
411320 LAPA;12,3;;
411330 LARANJEIRAS DO SUL;16,9;;
411340 LEOPOLIS;21,4;;
411345 LINDOESTE;22,1;;
411350 LOANDA;19,8;;
411360 LOBATO;18,5;;
411370 LONDRINA;11,2;;
411373 LUIZIANA;25,7;;
411375 LUNARDELLI;24,7;;
411380 LUPIONOPOLIS;23,4;;
411390 MALLET;7,5;;
411400 MAMBORE;20,1;;
411410 MANDAGUACU;20,6;;
411420 MANDAGUARI;15,9;;
411430 MANDIRITUBA;12,1;;
411440 MANGUEIRINHA;16,9;;
411450 MANOEL RIBAS;23,3;;
411460 MARECHAL CANDIDO RONDON;6;;
411470 MARIA HELENA;26,7;;
411480 MARIALVA;15,3;;
411490 MARILANDIA DO SUL;22,7;;
411500 MARILENA;20,7;;
411510 MARILUZ;26,1;;
411520 MARINGA;9,1;;
411530 MARIOPOLIS;15,2;;
411540 MARMELEIRO;15,4;;
411550 MARUMBI;20,1;;
411560 MATELANDIA;16,9;;
411570 MATINHOS;7,3;;
411580 MEDIANEIRA;9,6;;
411590 MIRADOR;24,3;;
411600 MIRASELVA;23,8;;
411605 MISSAL;7,8;;
411610 MOREIRA SALES;25,9;;
411620 MORRETES;13,8;;
411630 MUNHOZ DE MELO;24,8;;
411640 NOSSA SENHORA DAS GRACAS;27;;
411650 NOVA ALIANCA DO IVAI;34,5;;
411660 NOVA AMERICA DA COLINA;27,6;;
411670 NOVA AURORA;18,2;;
411680 NOVA CANTU;26,8;;
411690 NOVA ESPERANCA;17,4;;
411700 NOVA FATIMA;24,5;;
411710 NOVA LONDRINA;16,5;;
411720 NOVA OLIMPIA;26,7;;
411722 NOVA SANTA ROSA;6,4;;
411725 NOVA PRATA DO IGUACU;23,5;;
411727 NOVA TEBAS;32,8;;
411730 ORTIGUEIRA;40;;
411740 OURIZONA;21,6;;
411745 OURO VERDE DO OESTE;15,7;;
411750 PAICANDU;18,6;;
411760 PALMAS;17,6;;
411770 PALMEIRA;9,1;;
411780 PALMITAL;27,5;;
411790 PALOTINA;10,2;;
411800 PARAISO DO NORTE;22,6;;
411810 PARANACITY;22,6;;
411820 PARANAGUA;8,7;;
411830 PARANAPOEMA;28,3;;
411840 PARANAVAI;14,1;;
411850 PATO BRANCO;9,9;;
411860 PAULA FREITAS;10,7;;
411870 PAULO FRONTIN;9;;
411880 PEABIRU;20,3;;
411890 PEROLA;21,1;;
411900 PEROLA D'OESTE;13,2;;
411910 PIEN;9,5;;
411920 PINHALAO;27,6;;
411930 PINHAO;24;;
411940 PIRAI DO SUL;14,8;;
411950 PIRAQUARA;10,2;;
411960 PITANGA;21,5;;
411970 PLANALTINA DO PARANA;21,8;;
411980 PLANALTO;13;;
411990 PONTA GROSSA;8,3;;
412000 PORECATU;16,8;;
412010 PORTO AMAZONAS;15,2;;
412020 PORTO RICO;27,6;;
412030 PORTO VITORIA;12;;
412035 PRANCHITA;14,8;;
412040 PRESIDENTE CASTELO BRANCO;24,5;;
412050 PRIMEIRO DE MAIO;20,6;;
412060 PRUDENTOPOLIS;11,3;;
412070 QUATIGUA;17,5;;
412080 QUATRO BARRAS;11,3;;
412090 QUEDAS DO IGUACU;16,5;;
412100 QUERENCIA DO NORTE;29,3;;
412110 QUINTA DO SOL;25,1;;
412120 QUITANDINHA;19,1;;
412130 RANCHO ALEGRE;21;;
412140 REALEZA;14,6;;
412150 REBOUCAS;11,6;;
412160 RENASCENCA;15,6;;
412170 RESERVA;30,8;;
412180 RIBEIRAO CLARO;21,8;;
412190 RIBEIRAO DO PINHAL;27,5;;
412200 RIO AZUL;10,7;;
412210 RIO BOM;29,9;;
412220 RIO BRANCO DO SUL;25,9;;
412230 RIO NEGRO;8,5;;
412240 ROLANDIA;15,9;;
412250 RONCADOR;22,3;;
412260 RONDON;19,8;;
412265 ROSARIO DO IVAI;35;;
412270 SABAUDIA;15,2;;
412280 SALGADO FILHO;21,4;;
412290 SALTO DO ITARARE;26,4;;
412300 SALTO DO LONTRA;17,8;;
412310 SANTA AMELIA;22,4;;
412320 SANTA CECILIA DO PAVAO;26,5;;
412330 SANTA CRUZ DE MONTE CASTELO;21,7;;
412340 SANTA FE;21,5;;
412350 SANTA HELENA;11;;
412360 SANTA INES;21,9;;
412370 SANTA ISABEL DO IVAI;23,4;;
412380 SANTA IZABEL DO OESTE;16;;
412390 SANTA MARIANA;29;;
412400 SANTANA DO ITARARE;26,4;;
412402 SANTA TEREZA DO OESTE;17,5;;
412405 SANTA TEREZINHA DE ITAIPU;13,6;;
412410 SANTO ANTONIO DA PLATINA;21,5;;
412420 SANTO ANTONIO DO CAIUA;28;;
412430 SANTO ANTONIO DO PARAISO;25,9;;
412440 SANTO ANTONIO DO SUDOESTE;18,6;;
412450 SANTO INACIO;22,3;;
412460 SAO CARLOS DO IVAI;24,4;;
412470 SAO JERONIMO DA SERRA;33,6;;
412480 SAO JOAO;14,8;;
412490 SAO JOAO DO CAIUA;24,7;;
412500 SAO JOAO DO IVAI;28,8;;
412510 SAO JOAO DO TRIUNFO;14,7;;
412520 SAO JORGE D'OESTE;13,8;;
412530 SAO JORGE DO IVAI;14,8;;
412535 SAO JORGE DO PATROCINIO;20,9;;
412540 SAO JOSE DA BOA VISTA;25;;
412545 SAO JOSE DAS PALMEIRAS;22,9;;
412550 SAO JOSE DOS PINHAIS;8,5;;
412560 SAO MATEUS DO SUL;9,5;;
412570 SAO MIGUEL DO IGUACU;12,4;;
412580 SAO PEDRO DO IVAI;23,1;;
412590 SAO PEDRO DO PARANA;24,7;;
412600 SAO SEBASTIAO DA AMOREIRA;27;;
412610 SAO TOME;18,1;;
412620 SAPOPEMA;30,5;;
412625 SARANDI;16,5;;
412630 SENGES;19,3;;
412640 SERTANEJA;16,8;;
412650 SERTANOPOLIS;16,6;;
412660 SIQUEIRA CAMPOS;24;;
412665 SULINA;12,8;;
412670 TAMBOARA;23,6;;
412680 TAPEJARA;21,6;;
412690 TAPIRA;27;;
412700 TEIXEIRA SOARES;13,8;;
412710 TELEMACO BORBA;17,1;;
412720 TERRA BOA;21,2;;
412730 TERRA RICA;24,7;;
412740 TERRA ROXA;18,2;;
412750 TIBAGI;26,8;;
412760 TIJUCAS DO SUL;17,2;;
412770 TOLEDO;11,8;;
412780 TOMAZINA;23,7;;
412785 TRES BARRAS DO PARANA;21,3;;
412790 TUNEIRAS DO OESTE;25,9;;
412795 TUPASSI;14,4;;
412796 TURVO;21,4;;
412800 UBIRATA;17,4;;
412810 UMUARAMA;16,6;;
412820 UNIAO DA VITORIA;7,9;;
412830 UNIFLOR;25,1;;
412840 URAI;19,8;;
412850 WENCESLAU BRAZ;21,6;;
412855 VERA CRUZ DO OESTE;18,7;;
412860 VERE;18,6;;
412870 VITORINO;11;;
412880 XAMBRE;23,4;;
420005 ABDON BATISTA;15,9;;
420010 ABELARDO LUZ;16,1;;
420020 AGROLANDIA;9,4;;
420030 AGRONOMICA;8,7;;
420040 AGUA DOCE;12,5;;
420050 AGUAS DE CHAPECO;14,3;;
420060 AGUAS MORNAS;12,6;;
420070 ALFREDO WAGNER;15,5;;
420080 ANCHIETA;16;;
420090 ANGELINA;15,5;;
420100 ANITA GARIBALDI;23;;
420110 ANITAPOLIS;16,2;;
420120 ANTONIO CARLOS;11,5;;
420125 APIUNA;15,7;;
420130 ARAQUARI;10,2;;
420140 ARARANGUA;10;;
420150 ARMAZEM;15,3;;
420160 ARROIO TRINTA;14,4;;
420170 ASCURRA;11,3;;
420180 ATALANTA;8;;
420190 AURORA;6,8;;
420200 BALNEARIO CAMBORIU;5,5;;
420210 BARRA VELHA;14,8;;
420220 BENEDITO NOVO;6,9;;
420230 BIGUACU;11,9;;
420240 BLUMENAU;3,6;;
420250 BOM JARDIM DA SERRA;17,9;;
420260 BOM RETIRO;18,7;;
420270 BOTUVERA;13,6;;
420280 BRACO DO NORTE;8,2;;
420290 BRUSQUE;6;;
420300 CACADOR;11,1;;
420310 CAIBI;10,1;;
420320 CAMBORIU;13,8;;
420330 CAMPO ALEGRE;9,9;;
420340 CAMPO BELO DO SUL;26,4;;
420350 CAMPO ERE;15,8;;
420360 CAMPOS NOVOS;17,7;;
420370 CANELINHA;15,8;;
420380 CANOINHAS;8,6;;
420390 CAPINZAL;11,4;;
420400 CATANDUVAS;13;;
420410 CAXAMBU DO SUL;16;;
420415 CELSO RAMOS;11,1;;
420420 CHAPECO;10,7;;
420430 CONCORDIA;8,1;;
420440 CORONEL FREITAS;14,2;;
420450 CORUPA;6,6;;
420455 CORREIA PINTO;14,6;;
420460 CRICIUMA;6,8;;
420470 CUNHA PORA;6,6;;
420480 CURITIBANOS;14,1;;
420490 DESCANSO;11,5;;
420500 DIONISIO CERQUEIRA;18,5;;
420510 DONA EMMA;11,5;;
420515 DOUTOR PEDRINHO;7,9;;
420520 ERVAL VELHO;13,2;;
420530 FAXINAL DOS GUEDES;15,5;;
420540 FLORIANOPOLIS;5,6;;
420545 FORQUILHINHA;9,7;;
420550 FRAIBURGO;9,9;;
420560 GALVAO;17,6;;
420570 GAROPABA;22,4;;
420580 GARUVA;7,8;;
420590 GASPAR;6,5;;
420600 GOVERNADOR CELSO RAMOS;17,3;;
420610 GRAO PARA;9,4;;
420620 GRAVATAL;15,6;;
420630 GUABIRUBA;5,6;;
420640 GUARACIABA;9,3;;
420650 GUARAMIRIM;7,6;;
420660 GUARUJA DO SUL;10,1;;
420670 HERVAL D'OESTE;10,4;;
420680 IBICARE;9,9;;
420690 IBIRAMA;8,5;;
420700 ICARA;11,2;;
420710 ILHOTA;11,4;;
420720 IMARUI;21,4;;
420730 IMBITUBA;12,7;;
420740 IMBUIA;12,6;;
420750 INDAIAL;5,1;;
420760 IPIRA;3,7;;
420765 IPORA DO OESTE;4,7;;
420770 IPUMIRIM;10;;
420775 IRACEMINHA;8,3;;
420780 IRANI;12,2;;
420790 IRINEOPOLIS;13,8;;
420800 ITA;10;;
420810 ITAIOPOLIS;11;;
420820 ITAJAI;7;;
420830 ITAPEMA;8,6;;
420840 ITAPIRANGA;4,3;;
420845 ITAPOA;10,8;;
420850 ITUPORANGA;9,4;;
420860 JABORA;15;;
420870 JACINTO MACHADO;14,9;;
420880 JAGUARUNA;17,8;;
420890 JARAGUA DO SUL;4,1;;
420900 JOACABA;6,9;;
420910 JOINVILLE;5,3;;
420915 JOSE BOITEUX;15,4;;
420920 LACERDOPOLIS;10,4;;
420930 LAGES;11,4;;
420940 LAGUNA;12,6;;
420950 LAURENTINO;7,8;;
420960 LAURO MULLER;10,6;;
420970 LEBON REGIS;22,6;;
420980 LEOBERTO LEAL;16;;
420985 LINDOIA DO SUL;12;;
420990 LONTRAS;11,6;;
421000 LUIZ ALVES;6,4;;
