;;;;;;;;;
Informações de Saúde;;;;;;;;;
DATASUS  Tecnologia da Informação a Serviço do SUS;;;;;;;;;
Ajuda;;;;;;;;;
Notas Técnicas;;;;;;;;;
DATASUS;;;;;;;;;
Instalações sanitárias - Brasil;;;;;;;;;
Moradores por Instalações sanitárias segundo Município;;;;;;;;;
Período: 1991;;;;;;;;;
Município;Rede geral de esgoto ou pluvial;Fossa séptica;Fossa rudimendar;Vala;Outro escoadouro;Não sabe o tipo de escoadouro;Não tem instalação sanitária;Total;
Fonte: IBGE - Censos Demográficos de 1991, 2000 e 2010;;;;;;;;;
Consulte o site da Secretaria Estadual de Saúde para mais informações.;;;;;;;;;
;;;;;;;;;
210010 AFONSO CUNHA;-;63;742;-;-;-;3.751;4.556;
210020 ALCANTARA;-;641;7.533;425;20;-;10.925;19.544;
210030 ALDEIAS ALTAS;-;805;2.015;-;18;-;16.631;19.469;
210040 ALTAMIRA DO MARANHAO;-;84;2.335;16;-;31;17.523;19.989;
210050 ALTO PARNAIBA;-;1.109;1.528;245;8;11;7.277;10.178;
210060 AMARANTE DO MARANHAO;-;1.181;7.818;-;16;9;14.032;23.056;
210070 ANAJATUBA;-;825;4.650;-;10;10;14.029;19.524;
210080 ANAPURUS;-;412;1.845;8;-;9;7.967;10.241;
210090 ARAIOSES;-;2.222;7.655;239;241;28;33.500;43.885;
210095 ARAME;-;1.203;4.689;50;48;44;27.767;33.801;
210100 ARARI;-;4.207;8.536;235;88;5;11.736;24.807;
210110 AXIXA;-;383;1.522;6;306;29;7.077;9.323;
210120 BACABAL;3.218;24.793;27.302;113;65;64;42.851;98.406;
210130 BACURI;-;295;8.635;-;7;-;13.242;22.179;
210140 BALSAS;-;8.850;17.906;1;15;17;14.753;41.542;
210150 BARAO DE GRAJAU;-;1.779;510;22;35;90;11.058;13.494;
210160 BARRA DO CORDA;-;8.345;24.564;20;38;76;57.401;90.444;
210170 BARREIRINHAS;-;2.342;8.000;-;14;39;19.201;29.596;
210180 BENEDITO LEITE;-;384;2.110;100;32;5;6.176;8.807;
210190 BEQUIMAO;-;618;10.923;198;516;3;9.088;21.346;
210200 BOM JARDIM;-;2.748;8.022;297;1.021;92;28.117;40.297;
210210 BREJO;-;2.096;1.354;122;72;28;23.435;27.107;
210220 BURITI;-;399;703;-;8;18;21.699;22.827;
210230 BURITI BRAVO;-;1.667;5.417;-;-;-;14.000;21.084;
