;;;;;;;;;
Informações de Saúde;;;;;;;;;
DATASUS  Tecnologia da Informação a Serviço do SUS;;;;;;;;;
Ajuda;;;;;;;;;
Notas Técnicas;;;;;;;;;
DATASUS;;;;;;;;;
Instalações sanitárias - Brasil;;;;;;;;;
Moradores por Instalações sanitárias segundo Município;;;;;;;;;
Período: 1991;;;;;;;;;
Município;Rede geral de esgoto ou pluvial;Fossa séptica;Fossa rudimendar;Vala;Outro escoadouro;Não sabe o tipo de escoadouro;Não tem instalação sanitária;Total;
Fonte: IBGE - Censos Demográficos de 1991, 2000 e 2010;;;;;;;;;
Consulte o site da Secretaria Estadual de Saúde para mais informações.;;;;;;;;;
;;;;;;;;;
210240 CAJAPIO;-;26;5.401;61;26;-;6.520;12.034;
210250 CAJARI;-;643;1.447;-;14;15;13.888;16.007;
210260 CANDIDO MENDES;-;899;16.898;4.944;3.568;110;5.581;32.000;
210270 CANTANHEDE;-;228;6.499;644;295;16;15.565;23.247;
210280 CAROLINA;-;6.600;4.992;105;8;-;12.854;24.559;
210290 CARUTAPERA;-;844;14.460;501;658;9;15.493;31.965;
210300 CAXIAS;287;25.865;41.589;446;201;55;76.925;145.368;
210310 CEDRAL;-;435;10.239;93;253;5;4.051;15.076;
210320 CHAPADINHA;-;7.669;14.729;-;7;21;34.321;56.747;
210330 CODO;-;10.384;34.082;37;253;66;66.959;111.781;
210340 COELHO NETO;-;5.078;15.793;472;402;22;17.783;39.550;
210350 COLINAS;-;3.302;8.058;-;-;21;23.711;35.092;
210360 COROATA;-;7.000;19.674;165;54;30;43.261;70.184;
210370 CURURUPU;-;1.221;17.850;121;177;31;21.797;41.197;
210380 DOM PEDRO;-;4.821;6.973;50;8;15;7.780;19.647;
210390 DUQUE BACELAR;-;248;332;-;5;-;6.899;7.484;
210400 ESPERANTINOPOLIS;-;1.675;4.430;507;56;27;23.774;30.469;
210405 ESTREITO;-;4.312;6.427;-;-;5;12.216;22.960;
210410 FORTALEZA DOS NOGUEIRAS;-;762;2.104;-;18;3;9.480;12.367;
210420 FORTUNA;-;985;4.250;-;15;-;10.286;15.536;
210430 GODOFREDO VIANA;-;14;12.031;3.006;3.404;9;9.365;27.829;
210440 GONCALVES DIAS;-;1.696;2.762;27;-;6;12.040;16.531;
210450 GOVERNADOR ARCHER;-;1.137;2.421;-;-;2;6.693;10.253;
210460 GOVERNADOR EUGENIO BARROS;-;758;4.058;124;8;28;17.693;22.669;
210470 GRACA ARANHA;-;443;1.631;-;-;-;3.807;5.881;
210480 GRAJAU;-;5.481;11.448;85;46;9;37.093;54.162;
210490 GUIMARAES;-;731;9.220;-;112;-;2.272;12.335;
210500 HUMBERTO DE CAMPOS;-;259;833;1.591;52;5;17.329;20.069;
210510 ICATU;-;-;1.458;166;8.465;34;10.542;20.665;
210520 IGARAPE GRANDE;-;1.459;2.971;29;79;23;10.223;14.784;
210530 IMPERATRIZ;25.306;78.748;110.741;4.084;1.457;1.828;53.562;275.726;
210540 ITAPECURU MIRIM;-;6.455;14.668;19;11;6;21.628;42.787;
210550 JOAO LISBOA;-;1.638;27.648;54;7;-;23.779;53.126;
210560 JOSELANDIA;-;737;2.616;82;-;14;11.764;15.213;
210570 LAGO DA PEDRA;-;5.485;12.422;373;18;6;28.516;46.820;
210580 LAGO DO JUNCO;-;942;6.217;45;51;25;11.909;19.189;
210590 LAGO VERDE;-;383;2.988;24;-;30;9.788;13.213;
210600 LIMA CAMPOS;-;1.568;2.371;69;3;16;8.371;12.398;
210610 LORETO;-;362;2.380;-;-;-;6.691;9.433;
210620 LUIS DOMINGUES;-;209;6.670;80;831;-;1.320;9.110;
210630 MAGALHAES DE ALMEIDA;-;1.225;1.005;9;-;14;9.216;11.469;
210640 MATA ROMA;-;671;2.379;23;-;8;7.493;10.574;
210650 MATINHA;-;601;4.868;-;34;7;12.797;18.307;
210660 MATOES;-;347;3.390;4;-;25;21.469;25.235;
210670 MIRADOR;-;712;1.519;130;3;12;14.741;17.117;
210675 MIRANDA DO NORTE;-;1.697;7.999;-;3;-;4.533;14.232;
210680 MIRINZAL;-;932;9.271;4;793;19;5.794;16.813;
210690 MONCAO;-;534;10.886;25;202;11;13.614;25.272;
210700 MONTES ALTOS;-;221;3.846;28;75;20;15.274;19.464;
210710 MORROS;-;266;1.980;8;-;-;16.424;18.678;
210720 NINA RODRIGUES;-;277;861;14;8;4;6.334;7.498;
210730 NOVA IORQUE;470;3;945;-;2;-;3.514;4.934;
210740 OLHO D'AGUA DAS CUNHAS;-;1.836;4.243;-;8;-;10.103;16.190;
210750 PACO DO LUMIAR;22.115;3.382;17.142;2.003;329;5;7.631;52.607;
210760 PALMEIRANDIA;-;574;2.422;16;81;9;12.426;15.528;
210770 PARAIBANO;-;1.637;6.162;26;22;5;7.901;15.753;
210780 PARNARAMA;-;896;3.584;-;33;2;26.739;31.254;
210790 PASSAGEM FRANCA;-;1.306;3.946;11;5;1;17.311;22.580;
210800 PASTOS BONS;-;1.249;3.273;-;-;6;9.489;14.017;
210810 PAULO RAMOS;-;1.059;4.142;27;9;8;21.656;26.901;
210820 PEDREIRAS;-;12.361;8.805;2.627;422;90;26.060;50.365;
210830 PENALVA;-;36;12.630;40;300;10;16.201;29.217;
210840 PERI MIRIM;-;310;4.010;661;3.126;-;5.236;13.343;
210850 PINDARE-MIRIM;-;4.828;19.125;191;111;18;7.246;31.519;
210860 PINHEIRO;-;11.546;32.815;68;1.309;51;36.376;82.165;
210870 PIO XII;-;2.762;5.170;70;65;20;19.123;27.210;
210880 PIRAPEMAS;-;631;4.476;-;-;1;11.331;16.439;
210890 POCAO DE PEDRAS;-;1.197;5.011;567;-;21;17.662;24.458;
210900 PORTO FRANCO;-;3.989;14.328;-;-;10;14.028;32.355;
210910 PRESIDENTE DUTRA;-;8.632;9.997;172;31;35;23.780;42.647;
210920 PRESIDENTE JUSCELINO;-;236;318;-;2;3;5.845;6.404;
210930 PRESIDENTE VARGAS;-;282;1.806;-;2;-;5.726;7.816;
210940 PRIMEIRA CRUZ;-;503;1.346;77;181;26;16.249;18.382;
210950 RIACHAO;-;1.321;6.257;-;20;13;20.419;28.030;
210960 ROSARIO;-;5.347;12.341;3.480;996;33;18.480;40.677;
210970 SAMBAIBA;-;34;1.145;99;-;3;4.442;5.723;
210980 SANTA HELENA;-;1.759;12.871;221;56;11;11.429;26.347;
210990 SANTA INES;-;19.124;25.851;4.665;1.061;69;13.744;64.514;
211000 SANTA LUZIA;-;6.994;35.533;2.373;1.438;79;68.278;114.695;
211003 SANTA LUZIA DO PARUA;-;2.099;22.120;456;1.083;48;19.911;45.717;
211010 SANTA QUITERIA DO MARANHAO;-;1.478;3.483;28;12;-;15.897;20.898;
211020 SANTA RITA;-;1.584;7.687;109;883;-;10.871;21.134;
211030 SANTO ANTONIO DOS LOPES;-;1.490;3.132;-;8;31;12.903;17.564;
211040 SAO BENEDITO DO RIO PRETO;-;631;4.921;-;2;-;9.466;15.020;
211050 SAO BENTO;-;2.666;12.279;63;45;8;12.841;27.902;
211060 SAO BERNARDO;-;1.252;1.015;4;516;15;21.825;24.627;
211070 SAO DOMINGOS DO MARANHAO;-;2.747;6.559;-;-;19;25.014;34.339;
211080 SAO FELIX DE BALSAS;-;144;1.003;-;-;4;5.076;6.227;
211090 SAO FRANCISCO DO MARANHAO;-;546;862;-;5;20;11.473;12.906;
211100 SAO JOAO BATISTA;-;1.278;3.706;30;165;-;15.215;20.394;
211110 SAO JOAO DOS PATOS;-;4.962;6.308;164;72;-;13.960;25.466;
211120 SAO JOSE DE RIBAMAR;-;6.548;52.151;1.306;1.103;27;9.345;70.480;
211130 SAO LUIS;285.407;81.776;202.536;42.472;11.405;537;68.307;692.440;
211140 SAO LUIS GONZAGA DO MARANHAO;-;1.594;1.728;11;41;14;22.641;26.029;
211150 SAO MATEUS DO MARANHAO;-;4.628;12.377;20;60;12;13.911;31.008;
211160 SAO RAIMUNDO DAS MANGABEIRAS;-;1.708;4.499;-;3;4;7.919;14.133;
211170 SAO VICENTE FERRER;-;509;2.225;42;8;14;15.660;18.458;
211180 SITIO NOVO;-;985;2.004;-;-;8;10.612;13.609;
211190 SUCUPIRA DO NORTE;-;171;1.697;-;3;4;8.530;10.405;
211200 TASSO FRAGOSO;-;378;1.123;-;-;-;4.675;6.176;
211210 TIMBIRAS;-;885;2.418;-;5;4;19.624;22.936;
211220 TIMON;-;26.706;45.904;1.391;36;10;33.059;107.106;
211230 TUNTUM;-;4.221;4.076;684;58;24;26.739;35.802;
211240 TURIACU;-;479;13.095;193;1.986;15;23.747;39.515;
211250 TUTOIA;-;2.981;7.139;139;884;31;31.896;43.070;
211260 URBANO SANTOS;-;706;5.170;-;38;23;17.430;23.367;
211270 VARGEM GRANDE;-;2.007;7.548;120;33;21;23.134;32.863;
211280 VIANA;-;2.529;16.513;16;199;6;22.814;42.077;
211290 VITORIA DO MEARIM;-;3.391;24.841;3.583;398;6;17.874;50.093;
211300 VITORINO FREIRE;-;4.109;6.767;319;96;8;19.530;30.829;
211400 ZE DOCA;-;5.298;28.536;432;68;13;23.472;57.819;
220010 AGRICOLANDIA;-;5;2.487;-;-;13;3.206;5.711;
220020 AGUA BRANCA;-;2.201;9.487;-;-;50;4.447;16.185;
220025 ALAGOINHA DO PIAUI;-;5;733;-;11;15;7.304;8.068;
220030 ALTO LONGA;-;289;1.401;-;-;55;13.830;15.575;
220040 ALTOS;-;3.916;9.146;15;49;27;25.503;38.656;
220050 AMARANTE;3;157;4.486;17;11;5;11.766;16.445;
220060 ANGICAL DO PIAUI;-;1.190;2.290;-;4;-;2.640;6.124;
220070 ANISIO DE ABREU;-;25;1.675;-;-;-;8.655;10.355;
220080 ANTONIO ALMEIDA;-;-;1.210;-;-;-;3.683;4.893;
220090 AROAZES;-;95;917;-;-;5;7.897;8.914;
220100 ARRAIAL;-;-;687;-;-;3;4.782;5.472;
220110 AVELINO LOPES;-;7;3.204;194;-;-;8.549;11.954;
220120 BARRAS;-;4.773;3.901;-;7;90;41.259;50.030;
220130 BARREIRAS DO PIAUI;-;-;623;-;-;4;3.422;4.049;
220140 BARRO DURO;-;1.096;2.245;6;-;11;5.055;8.413;
220150 BATALHA;-;1.976;1.667;-;-;-;18.671;22.314;
220160 BENEDITINOS;-;50;1.291;107;3;311;10.722;12.484;
220170 BERTOLINIA;-;7;2.429;-;-;8;6.269;8.713;
220180 BOCAINA;-;541;100;56;9;14;3.170;3.890;
220190 BOM JESUS;-;3.915;1.557;165;74;12;12.310;18.033;
220200 BURITI DOS LOPES;8;2.145;2.247;392;52;6;26.098;30.948;
220210 CAMPINAS DO PIAUI;-;326;124;736;-;7;4.682;5.875;
220220 CAMPO MAIOR;-;16.129;11.039;631;16;18;44.247;72.080;
220230 CANTO DO BURITI;-;2.816;4.235;-;21;291;19.794;27.157;
220240 CAPITAO DE CAMPOS;-;482;1.061;8;5;16;8.564;10.136;
220250 CARACOL;-;4;1.641;6;12;4;10.067;11.734;
220260 CASTELO DO PIAUI;-;3.415;1.430;67;25;36;23.719;28.692;
220270 COCAL;-;3.395;746;-;5;14;22.799;26.959;
220280 CONCEICAO DO CANINDE;-;49;943;24;-;-;6.571;7.587;
220290 CORRENTE;-;5.379;1.765;6;-;14;17.564;24.728;
220300 CRISTALANDIA DO PIAUI;-;400;804;-;-;-;4.733;5.937;
220310 CRISTINO CASTRO;-;2.196;1.913;44;19;7;6.836;11.015;
220320 CURIMATA;-;-;2.184;136;8;8;10.416;12.752;
220330 DEMERVAL LOBAO;-;1.304;3.886;16;23;15;6.968;12.212;
220335 DIRCEU ARCOVERDE;-;-;1.009;-;-;3;9.925;10.937;
220340 DOM EXPEDITO LOPES;-;1.479;742;-;7;-;2.801;5.029;
220342 DOMINGOS MOURAO;-;17;325;-;14;30;3.884;4.270;
220345 DOM INOCENCIO;-;-;695;-;-;14;8.279;8.988;
220350 ELESBAO VELOSO;-;31;4.094;12;10;23;12.457;16.627;
220360 ELISEU MARTINS;-;2.062;1.233;-;5;8;5.392;8.700;
220370 ESPERANTINA;-;1.124;10.023;46;-;212;24.286;35.691;
220380 FLORES DO PIAUI;-;-;805;-;-;-;4.029;4.834;
220390 FLORIANO;19;21.657;6.553;609;236;581;21.504;51.159;
220400 FRANCINOPOLIS;-;184;604;-;-;5;4.516;5.309;
220410 FRANCISCO AYRES;-;59;932;15;6;5;4.005;5.022;
220420 FRANCISCO SANTOS;-;1.023;1.680;10;-;3;4.283;6.999;
220430 FRONTEIRAS;-;2.187;595;460;1;8;11.516;14.767;
220440 GILBUES;-;-;1.639;5;-;5;8.288;9.937;
220450 GUADALUPE;3.362;641;1.279;4;23;7;4.242;9.558;
220460 HUGO NAPOLEAO;-;15;2.066;-;-;-;1.548;3.629;
220470 INHUMA;-;2.884;1.450;11;13;-;8.745;13.103;
220480 IPIRANGA DO PIAUI;-;1.728;1.309;4;7;6;4.462;7.516;
220490 ISAIAS COELHO;-;413;77;198;2;18;6.906;7.614;
220500 ITAINOPOLIS;-;9;1.316;8;6;18;12.133;13.490;
220510 ITAUEIRA;-;1.630;1.285;-;3;17;8.058;10.993;
220520 JAICOS;-;2.202;2.892;707;5;12;22.838;28.656;
220530 JERUMENHA;-;12;1.423;2;45;10;6.623;8.115;
220540 JOAQUIM PIRES;-;960;267;-;-;35;13.337;14.599;
220550 JOSE DE FREITAS;-;3.944;5.317;-;12;29;20.103;29.405;
220560 LANDRI SALES;-;736;2.306;-;-;-;2.622;5.664;
220570 LUIS CORREIA;7;147;4.981;32;24;25;23.464;28.680;
220580 LUZILANDIA;-;2.437;6.509;12;15;24;26.917;35.914;
220590 MANOEL EMIDIO;-;465;1.321;-;-;3;4.985;6.774;
220600 MARCOS PARENTE;-;511;2.016;-;-;-;1.885;4.412;
220610 MATIAS OLIMPIO;-;818;813;-;-;4;10.285;11.920;
220620 MIGUEL ALVES;-;1.145;1.140;20;8;1;25.290;27.604;
220630 MIGUEL LEAO;-;-;520;18;-;-;692;1.230;
220640 MONSENHOR GIL;-;83;1.985;64;-;2;8.852;10.986;
220650 MONSENHOR HIPOLITO;-;6;1.550;11;-;-;4.687;6.254;
220660 MONTE ALEGRE DO PIAUI;-;-;921;26;150;5;8.296;9.398;
220670 NAZARE DO PIAUI;-;22;2.597;1;-;9;5.182;7.811;
220680 NOSSA SENHORA DOS REMEDIOS;-;29;880;1;135;5;5.006;6.056;
220690 NOVO ORIENTE DO PIAUI;-;734;717;-;2;31;5.703;7.187;
220700 OEIRAS;19;8.707;6.502;157;316;69;35.993;51.763;
220720 PADRE MARCOS;-;212;3.435;16;7;26;14.999;18.695;
220730 PAES LANDIM;-;828;52;-;-;1;4.544;5.425;
220740 PALMEIRA DO PIAUI;-;157;68;173;-;4;4.014;4.416;
220750 PALMEIRAIS;-;26;1.650;33;87;6;9.763;11.565;
220760 PARNAGUA;-;-;1.333;-;38;24;11.210;12.605;
220770 PARNAIBA;-;62.469;25.513;304;115;18;39.131;127.550;
220780 PAULISTANA;-;3.823;701;688;97;62;33.473;38.844;
220790 PEDRO II;-;1.193;7.210;962;135;18;34.240;43.758;
220800 PICOS;-;25.947;13.457;315;22;182;38.078;78.001;
220810 PIMENTEIRAS;-;-;1.072;200;-;3;9.223;10.498;
220820 PIO IX;-;6;4.527;170;47;-;11.012;15.762;
220830 PIRACURUCA;-;1.160;8.037;127;15;26;21.726;31.091;
220840 PIRIPIRI;-;14.283;13.036;131;6;71;35.461;62.988;
220850 PORTO;-;11;2.446;-;-;23;11.833;14.313;
220860 PRATA DO PIAUI;-;212;550;-;13;-;1.925;2.700;
220870 REDENCAO DO GURGUEIA;-;1.044;728;3;4;7;5.051;6.837;
220880 REGENERACAO;-;2.469;3.931;-;20;9;14.039;20.468;
220890 RIBEIRO GONCALVES;-;-;3.098;-;-;5;8.760;11.863;
220900 RIO GRANDE DO PIAUI;-;9;1.496;7;-;-;8.219;9.731;
220910 SANTA CRUZ DO PIAUI;-;1.340;334;-;-;-;8.006;9.680;
220920 SANTA FILOMENA;-;87;1.165;-;11;1;4.332;5.596;
220930 SANTA LUZ;-;475;718;2;-;-;3.255;4.450;
220940 SANTO ANTONIO DE LISBOA;-;-;1.682;-;-;22;3.364;5.068;
220950 SANTO INACIO DO PIAUI;-;19;825;-;5;7;4.735;5.591;
220960 SAO FELIX DO PIAUI;-;557;802;6;-;-;4.172;5.537;
220970 SAO FRANCISCO DO PIAUI;-;400;209;-;9;10;6.028;6.656;
220980 SAO GONCALO DO PIAUI;-;615;2.035;-;-;-;2.544;5.194;
220985 SAO JOAO DA CANABRAVA;-;411;856;4;-;4;5.559;6.834;
220990 SAO JOAO DA SERRA;-;586;120;-;40;12;6.519;7.277;
221000 SAO JOAO DO PIAUI;11;60;7.112;214;33;122;30.521;38.073;
221010 SAO JOSE DO PEIXE;-;254;407;-;-;11;5.186;5.858;
221020 SAO JOSE DO PIAUI;-;860;312;-;6;15;5.315;6.508;
221030 SAO JULIAO;-;61;1.762;396;-;-;7.476;9.695;
221040 SAO MIGUEL DO TAPUIO;-;1.704;235;57;29;22;22.684;24.731;
221050 SAO PEDRO DO PIAUI;-;988;4.009;66;-;15;6.429;11.507;
221060 SAO RAIMUNDO NONATO;-;169;11.112;1;-;33;32.797;44.112;
221070 SIMOES;-;167;2.376;13;-;38;19.491;22.085;
221080 SIMPLICIO MENDES;-;1.725;3.104;27;7;14;8.472;13.349;
221090 SOCORRO DO PIAUI;-;13;736;-;9;6;4.473;5.237;
221100 TERESINA;25.224;296.544;139.158;3.416;1.158;2.799;128.634;596.933;
221110 UNIAO;-;1.469;8.920;8;34;21;30.732;41.184;
221120 URUCUI;-;9;6.382;-;2;-;9.507;15.900;
221130 VALENCA DO PIAUI;-;5.587;1.667;13;7;5;13.268;20.547;
221140 VARZEA GRANDE;-;512;1.131;5;-;7;6.409;8.064;
230010 ABAIARA;-;273;1.675;11;-;5;5.908;7.872;
230015 ACARAPE;12;1.994;2.992;22;11;114;5.040;10.185;
230020 ACARAU;-;530;11.931;1.004;72;59;31.751;45.347;
230030 ACOPIARA;-;227;12.239;133;43;508;35.971;49.121;
230040 AIUABA;-;222;1.205;56;637;9;11.077;13.206;
230050 ALCANTARAS;-;9;1.917;-;-;-;6.669;8.595;
230060 ALTANEIRA;-;59;1.906;178;11;12;2.633;4.799;
230070 ALTO SANTO;16;2.081;2.909;77;27;33;8.422;13.565;
230075 AMONTADA;-;2.700;4.082;62;5;32;18.220;25.101;
230080 ANTONINA DO NORTE;-;270;1.513;723;12;37;2.506;5.061;
230090 APUIARES;-;14;3.859;1.066;36;-;4.539;9.514;
230100 AQUIRAZ;-;7.159;18.620;90;218;118;19.672;45.877;
230110 ARACATI;-;7.385;22.932;60;28;383;29.349;60.137;
230120 ARACOIABA;-;2.218;9.717;48;13;25;10.428;22.449;
230130 ARARIPE;40;1.093;1.450;65;-;12;14.742;17.402;
230140 ARATUBA;26;55;3.835;9;7;7;6.609;10.548;
230150 ARNEIROZ;-;53;1.079;787;6;14;5.445;7.384;
230160 ASSARE;-;2.085;2.003;43;3;19;15.350;19.503;
230170 AURORA;-;3.041;5.625;272;27;54;15.368;24.387;
230180 BAIXIO;-;679;1.379;28;35;-;3.285;5.406;
230185 BANABUIU;-;1.000;2.991;-;-;10;10.330;14.331;
230190 BARBALHA;-;287;21.348;224;31;34;16.308;38.232;
230195 BARREIRA;-;3.622;4.851;43;5;60;6.130;14.711;
230200 BARRO;23;4;5.882;4;259;20;13.111;19.303;
230205 BARROQUINHA;-;2;2.436;-;4;7;10.451;12.900;
230210 BATURITE;24;4.310;8.579;824;3.472;221;9.619;27.049;
230220 BEBERIBE;-;1.773;12.140;5;17;133;22.299;36.367;
230230 BELA CRUZ;-;34;7.594;26;8;9;18.239;25.910;
230240 BOA VIAGEM;14;11.218;3.214;429;21;46;32.937;47.879;
230250 BREJO SANTO;45;123;14.888;153;11;234;18.215;33.669;
230260 CAMOCIM;-;915;20.165;42;12;24;29.642;50.800;
230270 CAMPOS SALES;1.045;69;7.699;434;49;173;13.756;23.225;
230280 CANINDE;122;23.332;4.158;422;48;28;33.389;61.499;
230290 CAPISTRANO;-;2.193;4.627;185;64;32;8.400;15.501;
230300 CARIDADE;-;97;4.838;71;30;7;7.373;12.416;
230310 CARIRE;-;473;2.593;243;36;7;14.378;17.730;
230320 CARIRIACU;-;9;8.478;-;-;-;12.808;21.295;
230330 CARIUS;-;542;2.508;54;23;18;14.422;17.567;
230340 CARNAUBAL;-;-;4.051;-;-;-;9.554;13.605;
230350 CASCAVEL;-;10.710;14.459;200;39;157;20.795;46.360;
230360 CATARINA;-;8;2.615;60;-;-;9.196;11.879;
230370 CAUCAIA;37.902;29.772;54.182;595;298;647;41.418;164.814;
230380 CEDRO;-;63;8.103;206;48;-;14.502;22.922;
230390 CHAVAL;-;513;1.858;78;32;14;8.054;10.549;
230395 CHOROZINHO;-;1.909;7.219;46;18;197;6.032;15.421;
230400 COREAU;-;25;3.934;280;13;2;13.301;17.555;
230410 CRATEUS;27;14.623;13.693;450;159;96;37.460;66.508;
230420 CRATO;9.955;12.914;30.164;352;540;946;34.794;89.665;
230423 CROATA;-;41;3.498;-;-;-;11.334;14.873;
230425 CRUZ;-;5.876;1.121;27;14;21;12.762;19.821;
230426 DEPUTADO IRAPUAN PINHEIRO;-;-;406;388;-;-;7.634;8.428;
230427 ERERE;-;256;1.508;111;5;8;4.532;6.420;
230428 EUSEBIO;-;1.412;11.563;42;-;77;7.235;20.329;
230430 FARIAS BRITO;-;3.724;334;232;114;15;13.203;17.622;
230435 FORQUILHA;31;521;5.590;204;252;15;8.596;15.209;
230440 FORTALEZA;223.444;464.483;871.795;14.829;10.146;17.600;156.241;1.758.538;
230450 FRECHEIRINHA;-;-;3.035;6;4;9;6.631;9.685;
230460 GENERAL SAMPAIO;-;7;1.202;-;-;-;4.279;5.488;
230465 GRACA;-;123;1.546;31;-;14;12.644;14.358;
230470 GRANJA;10;852;5.030;77;30;42;35.368;41.409;
230480 GRANJEIRO;-;449;455;-;14;11;3.814;4.743;
230490 GROAIRAS;-;186;2.664;174;6;-;5.038;8.068;
230495 GUAIUBA;-;522;7.794;15;-;11;9.220;17.562;
230500 GUARACIABA DO NORTE;15;-;8.984;89;-;12;21.143;30.243;
230510 GUARAMIRANGA;-;1.270;978;12;32;17;2.977;5.286;
230520 HIDROLANDIA;4;4;4.500;43;46;15;13.284;17.896;
230523 HORIZONTE;-;4.550;6.282;13;40;622;6.758;18.265;
230526 IBARETAMA;-;978;2.012;16;-;3;8.221;11.230;
230530 IBIAPINA;-;1.042;7.577;102;6;6;11.249;19.982;
230533 IBICUITINGA;-;-;3.348;-;-;-;5.236;8.584;
230535 ICAPUI;-;28;4.835;153;94;3;8.234;13.347;
230540 ICO;-;459;25.262;206;16;57;34.271;60.271;
230550 IGUATU;-;15.200;23.947;153;19;4.667;30.786;74.772;
230560 INDEPENDENCIA;8;1.871;4.257;229;-;9;17.651;24.025;
230565 IPAPORANGA;-;11;1.134;8;27;14;9.655;10.849;
230570 IPAUMIRIM;26;130;3.897;153;83;5;6.890;11.184;
230580 IPU;-;613;13.298;22;13;384;21.296;35.626;
230590 IPUEIRAS;188;-;7.715;520;5;6;26.644;35.078;
230600 IRACEMA;232;2.141;3.360;48;75;567;7.521;13.944;
230610 IRAUCUBA;-;1.556;4.078;820;11;30;10.660;17.155;
230620 ITAICABA;-;914;2.319;6;9;167;2.244;5.659;
230630 ITAPAGE;-;7.399;8.096;708;259;48;17.030;33.540;
230640 ITAPIPOCA;2.642;7.262;20.452;111;61;409;46.005;76.942;
230650 ITAPIUNA;-;245;5.355;166;7;9;7.056;12.838;
230655 ITAREMA;-;4.631;1.861;13;8;-;18.970;25.483;
230660 ITATIRA;-;1.837;725;68;42;7;11.159;13.838;
230670 JAGUARETAMA;-;55;4.399;28;16;35;13.000;17.533;
230680 JAGUARIBARA;-;-;2.819;-;-;19;4.861;7.699;
230690 JAGUARIBE;2.398;5.559;7.865;51;11;343;16.047;32.274;
230700 JAGUARUANA;-;69;11.680;91;-;17;14.007;25.864;
230710 JARDIM;1.910;843;2.081;167;579;93;18.215;23.888;
230720 JATI;-;1;2.068;25;5;4;4.731;6.834;
230730 JUAZEIRO DO NORTE;-;2.058;144.004;2.455;314;235;23.586;172.652;
230740 JUCAS;-;234;3.736;587;93;27;16.402;21.079;
230750 LAVRAS DA MANGABEIRA;-;843;8.378;932;50;42;20.400;30.645;
230760 LIMOEIRO DO NORTE;1.455;2.648;24.783;15;-;155;12.170;41.226;
230763 MADALENA;5;2.095;1.977;58;5;-;8.489;12.629;
230765 MARACANAU;79.987;25.114;28.334;390;236;39;22.787;156.887;
230770 MARANGUAPE;-;24.562;21.957;261;244;311;24.053;71.388;
230780 MARCO;-;18;6.342;33;19;9;14.203;20.624;
230790 MARTINOPOLE;-;18;1.552;6;17;3;4.844;6.440;
230800 MASSAPE;-;852;6.369;1.253;309;3;14.869;23.655;
230810 MAURITI;-;621;7.416;490;21;4;28.548;37.100;
230820 MERUOCA;-;49;3.441;168;8;-;6.766;10.432;
230830 MILAGRES;6;142;6.909;160;65;6;16.833;24.121;
230835 MILHA;-;510;3.384;-;-;5;8.109;12.008;
230837 MIRAIMA;991;4;2.217;8;31;-;6.787;10.038;
230840 MISSAO VELHA;-;17;9.722;659;39;-;18.715;29.152;
230850 MOMBACA;1.270;182;9.899;761;952;91;27.653;40.808;
230860 MONSENHOR TABOSA;-;2;4.434;206;-;31;10.826;15.499;
230870 MORADA NOVA;-;21.726;7.014;103;4;157;29.568;58.572;
230880 MORAUJO;-;-;1.109;161;-;19;4.980;6.269;
230890 MORRINHOS;-;2.566;1.427;61;12;-;10.434;14.500;
230900 MUCAMBO;-;91;4.317;-;-;16;7.516;11.940;
230910 MULUNGU;-;111;3.075;382;-;6;4.259;7.833;
230920 NOVA OLINDA;1.589;14;1.005;772;4;17;7.868;11.269;
230930 NOVA RUSSAS;53;772;10.848;696;51;417;24.942;37.779;
230940 NOVO ORIENTE;-;62;5.600;74;29;6;20.536;26.307;
230945 OCARA;-;3;8.730;30;33;29;10.980;19.805;
230950 OROS;2.094;6.000;1.910;127;44;200;11.602;21.977;
230960 PACAJUS;-;3.009;18.991;38;41;220;9.420;31.719;
230970 PACATUBA;-;6.770;35.768;465;1.270;347;15.274;59.894;
230980 PACOTI;-;2.807;2.007;32;-;-;5.212;10.058;
230990 PACUJA;506;657;253;28;-;20;3.525;4.989;
231000 PALHANO;-;4;3.097;-;-;-;4.792;7.893;
231010 PALMACIA;-;141;3.709;13;-;-;6.361;10.224;
231020 PARACURU;-;48;9.526;85;21;42;11.109;20.831;
231025 PARAIPABA;-;21;12.286;-;4;-;7.414;19.725;
231030 PARAMBU;38;48;4.593;1.087;193;98;23.913;29.970;
231040 PARAMOTI;-;11;3.520;129;-;21;6.759;10.440;
231050 PEDRA BRANCA;-;189;9.712;580;-;29;28.208;38.718;
231060 PENAFORTE;-;-;1.090;210;805;-;4.318;6.423;
231070 PENTECOSTE;-;1.571;12.366;389;503;58;17.341;32.228;
231080 PEREIRO;-;29;4.111;10;425;20;10.184;14.779;
231085 PINDORETAMA;-;2.014;4.553;-;11;138;5.712;12.428;
231090 PIQUET CARNEIRO;-;59;3.600;186;41;50;9.161;13.097;
231095 PIRES FERREIRA;-;897;1.222;6;7;12;7.321;9.465;
231100 PORANGA;-;19;1.557;78;10;-;9.387;11.051;
231110 PORTEIRAS;27;-;2.299;791;-;18;11.888;15.023;
231120 POTENGI;-;942;1.381;-;-;5;5.815;8.143;
231123 POTIRETAMA;-;563;1.115;116;-;8;3.964;5.766;
231126 QUITERIANOPOLIS;-;52;931;1.476;-;17;14.823;17.299;
