;;;;;;;;;
Informações de Saúde;;;;;;;;;
DATASUS  Tecnologia da Informação a Serviço do SUS;;;;;;;;;
Ajuda;;;;;;;;;
Notas Técnicas;;;;;;;;;
DATASUS;;;;;;;;;
Instalações sanitárias - Brasil;;;;;;;;;
Moradores por Instalações sanitárias segundo Município;;;;;;;;;
Período: 2010;;;;;;;;;
Município;Rede geral de esgoto ou pluvial;Fossa séptica;Fossa rudimendar;Vala;Rio, lago ou mar;Outro escoadouro;Não tem instalação sanitária;Total;
Fonte: IBGE - Censos Demográficos de 1991, 2000 e 2010;;;;;;;;;
Consulte o site da Secretaria Estadual de Saúde para mais informações.;;;;;;;;;
;;;;;;;;;
150320 IGARAPE-ACU;329;308;24.544;1.628;21;8.494;449;35.773;
150330 IGARAPE-MIRI;347;1.541;19.937;14.794;7.284;11.211;2.618;57.732;
150340 INHANGAPI;26;2.065;3.786;910;1;2.952;285;10.025;
150345 IPIXUNA DO PARA;685;12.093;16.806;2.175;140;15.395;3.869;51.163;
150350 IRITUIA;63;882;17.419;8.337;216;2.218;2.154;31.289;
150360 ITAITUBA;1.596;17.800;57.552;9.704;1.375;5.501;1.991;95.519;
150370 ITUPIRANGA;922;3.521;27.569;5.064;15;6.773;6.844;50.708;
150375 JACAREACANGA;6;215;4.322;2.653;127;1.771;3.024;12.118;
150380 JACUNDA;1.471;6.355;36.545;1.761;448;1.259;3.187;51.026;
150390 JURUTI;364;968;24.480;18.540;138;881;833;46.204;
150400 LIMOEIRO DO AJURU;45;1.462;4.902;7.221;9.130;1.250;995;25.005;
150405 MAE DO RIO;82;11.343;8.962;1.032;26;5.553;802;27.800;
150410 MAGALHAES BARATA;38;3.892;3.166;365;-;473;162;8.096;
150420 MARABA;13.528;60.186;119.186;18.909;1.839;8.577;9.599;231.824;
150430 MARACANA;174;11.517;12.232;2.456;173;1.172;496;28.220;
150440 MARAPANIM;137;579;20.569;2.048;182;2.342;647;26.504;
150442 MARITUBA;4.343;15.906;81.359;3.074;61;1.720;1.027;107.490;
150445 MEDICILANDIA;44;5.285;16.996;922;301;1.824;1.741;27.113;
150450 MELGACO;47;765;5.223;7.668;5.144;4.409;1.487;24.743;
